Mare Nectaris,another,56.17,3723
ICARUS,leggendaria,53.1,3556
X-DEN,another,50.28,3948
Thor's Hammer,another,48.56,2919
DIAVOLO,another,47.64,3102
灼熱Beach Side Bunny,another,44.32,3056
駅猫のワルツ,another,43.91,2770
灼熱 Pt.2 Long Train Running,another,42.02,3207
ICARUS,another,38.47,2313
The Chase,another,38.43,2042
疾風迅雷,leggendaria,37.8,3243
BLUE MIRAGE,another,37.58,2856
Y&Co. is dead or alive,another,37.39,2629
199024club -Re:BounceKiller-,another,36.33,2240
Sigmund,leggendaria,36.33,4030
Fascination MAXX,another,36.12,2335
Carmina,another,36,3556
音楽,another,35.47,2644
DAY DREAM,another,35.36,1911
Red. by Jack Trance,another,34.94,3311
Plan 8,another,34.71,3006
Go Beyond!!,another,34.47,2074
ruin of opals,another,33.91,2926
DUE TOMORROW,another,33.85,1908
VANESSA,leggendaria,33.43,3150
EBONY & IVORY,leggendaria,33.01,3355
Watch Out Pt.2,another,32.77,2679
ra'am,another,32.5,2599
卑弥呼,another,32.35,3768
Sigmund,another,31.25,3607
Concertino in Blue,another,30.96,2331
Unbelief,another,30.48,2978
voltississimo,another,30.36,3358
Snake Stick,another,30.22,2573
真 地獄超特急 -HELL or HELL-,another,30.19,3070
JOMANDA,another,29.91,3410
Level One,another,29.73,3303
冥,another,29.44,3556
ワルツ第17番 ト短調”大犬のワルツ”,another,29.33,2995
KAMAITACHI,leggendaria,28.56,3556
DropZ-Line-,another,28.53,2930
廿,leggendaria,28.44,3079
ピアノ協奏曲第１番”蠍火”,another,28.02,2515
INSOMNIA,another,28,2954
Timepiece phase II (CN Ver.),another,27.78,2749
焔極OVERKILL,another,27.61,3381
桜,another,27.54,1998
Zirkfied,another,27.07,3499
perditus†paradisus,another,26.77,3671
聖人の塔,another,26.75,2786
火影,another,26.69,2555
子供の落書き帳,another,26.65,2481
IX,another,26.54,3568
StrayedCatz,another,26.12,2650
KAISER PHOENIX,leggendaria,26.05,3603
EMERALDAS,another,26.04,3260
3y3s,another,25.43,3326
東京神話,another,24.96,2677
invoker,leggendaria,24.52,3291
シムルグの目醒め,another,24.38,3239
共鳴遊戯の華,another,24.31,3557
Macho Monky,another,23.99,2823
華麗なる大犬円舞曲,another,23.89,3288
VOX UP,another,23.77,3325
GuNGNiR,another,23.69,3701
PARANOiA ～HADES～,another,23.36,2480
アストライアの双皿,another,23.36,2902
Devilz Staircase,another,23.11,2996
PARADISE LOST,another,23.07,3055
FANTASTIC THREE,another,22.82,2932
Go Ahead!!,another,22.75,2513
BLACK.by X-Cross Fade,another,22.64,3090
one or eight,another,22.61,2094
STULTI,another,22.59,2518
金野火織の金色提言,another,22.41,2899
Xlo,another,22.25,3535
STARLIGHT DANCEHALL,leggendaria,22.08,3044
The Rebellion of Sequencer,another,21.93,2906
B4U(BEMANI FOR YOU MIX),leggendaria,21.9,4196
THANK YOU FOR PLAYING,leggendaria,21.64,2728
The Least 100sec,another,21.55,2677
Grand Chariot,another,21.45,3156
Caterpillar,another,21.42,2776
New Castle Legions,another,21.41,2522
Blue Spring Express,another,21.28,3073
DEATH†ZIGOQ ～怒りの高速爆走野郎～,another,21.24,3689
Red. by Full Metal Jacket,another,21.22,2921
OTENAMI Hurricane,another,21.19,2922
Session 9 -Chronicles-,another,21.08,3293
最小三倍完全数,another,21.08,2337
NZM,another,21,3171
Ancient Scapes,leggendaria,20.99,3908
Twelfth Style,leggendaria,20.96,2994
Timepiece phase II,another,20.66,2960
VOX RUSH,another,20.63,3087
LOST TECHNOLOGIE,another,20.58,3240
NITROUS CANNON,another,20.43,3334
SOLID STATE SQUAD,leggendaria,20.31,3322
fffff,another,20.28,2888
HAERETICUS,another,20.26,2825
Close the World feat.a☆ru,leggendaria,20.24,3525
ONIGOROSHI,another,20.23,2740
GO OVER WITH GLARE -ROOTAGE 26-,another,20.19,3557
CONTRACT,leggendaria,20.12,2522
Feel The Beat,leggendaria,20.12,3956
Sol Cosine Job 2,another,20.04,2889
Amazing Mirage,leggendaria,19.96,2995
Sense 2007,another,19.95,2698
Reflux,another,19.72,2799
Verflucht,leggendaria,19.08,4270
キャトられ恋はモ～モク,another,19.05,3535
即席！脳直★ミュージックシステム,another,19.03,3269
HADES,another,19,2847
Dances with Snow Fairies,another,18.99,2887
少年は空を辿る,another,18.68,3074
MENDES,another,18.67,3255
Quakes,another,18.61,2941
rage against usual,another,18.41,2715
夏色DIARY - L.E.D.-G STYLE MIX -,another,18.29,2827
ECHIDNA,another,18.2,3156
Papilio ulysses,another,18.15,2663
Godspeed,another,18.08,2901
Flashes,another,18.06,3007
Monopole.,another,18.06,3075
DORNWALD ～Junge～,another,17.91,3384
IMPLANTATION,another,17.91,2069
quell～the seventh slave～,another,17.91,2927
SCREAM SQUAD,another,17.86,1909
Almagest,another,17.64,2896
轟け！恋のビーンボール！！,another,17.63,3262
超青少年ノ為ノ超多幸ナ超古典的超舞曲,leggendaria,17.6,3752
eRAseRmOToRpHAntOM,another,17.58,2998
少年A,another,17.37,2576
Rave*it!! Rave*it!! ,another,17.26,2945
KAISER PHOENIX,another,17.23,3011
encounter,another,17.2,2985
AO-1,another,17.13,2566
恋する☆宇宙戦争っ！！,another,17.1,3263
煉獄のエルフェリア,another,17.05,3557
Invitation from Mr.C,another,17.04,2499
Innocent Walls,another,16.99,2572
EVANESCENT,another,16.94,3281
VANESSA,another,16.92,2184
Illusionary Waterlily,another,16.89,3206
Confiserie,another,16.77,3260
DEADHEAT,another,16.66,3061
TOGAKUSHI,another,16.61,2389
gigadelic,hyper,16.32,1985
Elemental Creation,another,16.25,3787
Chrono Diver -PENDULUMs-,another,16.04,3950
Xperanza,another,15.89,2911
Antigravity,another,15.82,2830
嘆きの樹,another,15.41,3556
CODE:1 [revision1.0.1],another,15.39,2827
